    3580 permit tcp host 192.168.32.16 any eq 1588
    320 permit tcp host 192.168.32.16 any eq 1589
    3600 permit tcp host 192.168.32.16 any eq 3306
    3590 permit tcp host 192.168.32.16 any eq 3388
    190 permit tcp host 192.168.32.17 host 10.21.100.59 eq 1588
    300 permit tcp host 192.168.32.17 host 10.21.100.59 eq 1589
    2850 permit tcp host 192.168.32.17 host 10.21.100.60 eq 1588
    310 permit tcp host 192.168.32.17 host 10.21.100.60 eq 1589
    3390 permit tcp host 192.168.32.17 host 10.21.100.60 eq 3306
    3120 permit tcp host 192.168.32.17 host 10.21.100.60 eq 3388
    2860 permit tcp host 192.168.32.17 host 10.21.100.71 eq 1588
    3400 permit tcp host 192.168.32.17 host 10.21.100.71 eq 3306
    3130 permit tcp host 192.168.32.17 host 10.21.100.71 eq 3388
    2870 permit tcp host 192.168.32.17 host 10.21.100.72 eq 1588
    3410 permit tcp host 192.168.32.17 host 10.21.100.72 eq 3306
    3140 permit tcp host 192.168.32.17 host 10.21.100.72 eq 3388
    2880 permit tcp host 192.168.32.17 host 10.21.100.73 eq 1588
    3420 permit tcp host 192.168.32.17 host 10.21.100.73 eq 3306
    3150 permit tcp host 192.168.32.17 host 10.21.100.73 eq 3388
    2890 permit tcp host 192.168.32.17 host 10.21.100.74 eq 1588
    3430 permit tcp host 192.168.32.17 host 10.21.100.74 eq 3306
    3160 permit tcp host 192.168.32.17 host 10.21.100.74 eq 3388
    2830 permit tcp host 192.168.32.17 host 10.21.100.88 eq 1588
    3370 permit tcp host 192.168.32.17 host 10.21.100.88 eq 3306
    3100 permit tcp host 192.168.32.17 host 10.21.100.88 eq 3388
    2930 permit tcp host 192.168.32.17 host 10.31.100.12 eq 1588
    3470 permit tcp host 192.168.32.17 host 10.31.100.12 eq 3306
    3200 permit tcp host 192.168.32.17 host 10.31.100.12 eq 3388
    1710 permit tcp host 192.168.32.17 host 172.16.100.12 eq 1588
    2410 permit tcp host 192.168.32.17 host 172.16.100.12 eq 3306
    2100 permit tcp host 192.168.32.17 host 172.16.100.12 eq 3388
    1670 permit tcp host 192.168.32.17 host 172.16.100.220 eq 1588
    1740 permit tcp host 192.168.32.17 host 172.16.100.221 eq 1588
    1730 permit tcp host 192.168.32.17 host 172.16.100.222 eq 1588
    1600 permit tcp host 192.168.32.17 host 172.16.100.225 eq 1588
    1650 permit tcp host 192.168.32.17 host 172.16.100.226 eq 1588
    1660 permit tcp host 192.168.32.17 host 172.16.100.227 eq 1588
    1630 permit tcp host 192.168.32.17 host 172.16.100.22 eq 1588
    2400 permit tcp host 192.168.32.17 host 172.16.100.22 eq 3306
    2090 permit tcp host 192.168.32.17 host 172.16.100.22 eq 3388
    2020 permit tcp host 192.168.32.17 host 172.16.100.31 eq 1588
    2640 permit tcp host 192.168.32.17 host 172.16.100.31 eq 3306
    2330 permit tcp host 192.168.32.17 host 172.16.100.31 eq 3388
    2060 permit tcp host 192.168.32.17 host 172.16.100.36 eq 1588
    2680 permit tcp host 192.168.32.17 host 172.16.100.36 eq 3306
    2370 permit tcp host 192.168.32.17 host 172.16.100.36 eq 3388
    2070 permit tcp host 192.168.32.17 host 172.16.100.39 eq 1588
    2690 permit tcp host 192.168.32.17 host 172.16.100.39 eq 3306
    2380 permit tcp host 192.168.32.17 host 172.16.100.39 eq 3388
    1830 permit tcp host 192.168.32.17 host 172.16.100.53 eq 1588
    2480 permit tcp host 192.168.32.17 host 172.16.100.53 eq 3306
    2170 permit tcp host 192.168.32.17 host 172.16.100.53 eq 3388
    3510 permit tcp host 192.168.32.17 host 172.16.100.54 eq 1588
    3520 permit tcp host 192.168.32.17 host 172.16.100.55 eq 1588
    3530 permit tcp host 192.168.32.17 host 172.16.100.56 eq 1588
    1870 permit tcp host 192.168.32.17 host 172.16.100.81 eq 1588
    2490 permit tcp host 192.168.32.17 host 172.16.100.81 eq 3306
    2180 permit tcp host 192.168.32.17 host 172.16.100.81 eq 3388
    1840 permit tcp host 192.168.32.17 host 172.16.100.82 eq 1588
    2050 permit tcp host 192.168.32.17 host 172.16.100.85 eq 1588
    2670 permit tcp host 192.168.32.17 host 172.16.100.85 eq 3306
    2360 permit tcp host 192.168.32.17 host 172.16.100.85 eq 3388
    1590 permit tcp host 192.168.32.17 host 172.16.100.87 eq 1588
    2390 permit tcp host 192.168.32.17 host 172.16.100.87 eq 3306
    2080 permit tcp host 192.168.32.17 host 172.16.100.87 eq 3388
    1790 permit tcp host 192.168.32.17 host 172.16.100.91 eq 1588
    2440 permit tcp host 192.168.32.17 host 172.16.100.91 eq 3306
    2130 permit tcp host 192.168.32.17 host 172.16.100.91 eq 3388
    1800 permit tcp host 192.168.32.17 host 172.16.100.92 eq 1588
    2450 permit tcp host 192.168.32.17 host 172.16.100.92 eq 3306
    2140 permit tcp host 192.168.32.17 host 172.16.100.92 eq 3388
    1780 permit tcp host 192.168.32.17 host 172.16.100.93 eq 1588
    2430 permit tcp host 192.168.32.17 host 172.16.100.93 eq 3306
    2120 permit tcp host 192.168.32.17 host 172.16.100.93 eq 3388
    1750 permit tcp host 192.168.32.17 host 172.16.100.94 eq 1588
    2420 permit tcp host 192.168.32.17 host 172.16.100.94 eq 3306
    2110 permit tcp host 192.168.32.17 host 172.16.100.94 eq 3388
    1810 permit tcp host 192.168.32.17 host 172.16.100.99 eq 1588
    2460 permit tcp host 192.168.32.17 host 172.16.100.99 eq 3306
    2150 permit tcp host 192.168.32.17 host 172.16.100.99 eq 3388
    1570 permit tcp host 192.168.32.17 host 172.16.122.101 eq 3388
    1820 permit tcp host 192.168.32.17 host 172.16.1.98 eq 1588
    2470 permit tcp host 192.168.32.17 host 172.16.1.98 eq 3306
    2160 permit tcp host 192.168.32.17 host 172.16.1.98 eq 3388
    2030 permit tcp host 192.168.32.17 host 172.21.100.110 eq 1588
    2650 permit tcp host 192.168.32.17 host 172.21.100.110 eq 3306
    2340 permit tcp host 192.168.32.17 host 172.21.100.110 eq 3388
    1920 permit tcp host 192.168.32.17 host 172.21.100.13 eq 1588
    2540 permit tcp host 192.168.32.17 host 172.21.100.13 eq 3306
    2230 permit tcp host 192.168.32.17 host 172.21.100.13 eq 3388
    1610 permit tcp host 192.168.32.17 host 172.21.100.220 eq 1588
    1620 permit tcp host 192.168.32.17 host 172.21.100.221 eq 1588
    1640 permit tcp host 192.168.32.17 host 172.21.100.222 eq 1588
    1980 permit tcp host 192.168.32.17 host 172.21.100.31 eq 1588
    2600 permit tcp host 192.168.32.17 host 172.21.100.31 eq 3306
    2290 permit tcp host 192.168.32.17 host 172.21.100.31 eq 3388
    1880 permit tcp host 192.168.32.17 host 172.21.100.41 eq 1588
    2500 permit tcp host 192.168.32.17 host 172.21.100.41 eq 3306
    2190 permit tcp host 192.168.32.17 host 172.21.100.41 eq 3388
    1890 permit tcp host 192.168.32.17 host 172.21.100.45 eq 1588
    2510 permit tcp host 192.168.32.17 host 172.21.100.45 eq 3306
    2200 permit tcp host 192.168.32.17 host 172.21.100.45 eq 3388
    1900 permit tcp host 192.168.32.17 host 172.21.100.46 eq 1588
    2520 permit tcp host 192.168.32.17 host 172.21.100.46 eq 3306
    2210 permit tcp host 192.168.32.17 host 172.21.100.46 eq 3388
    360 permit tcp host 192.168.32.17 host 172.21.100.49 eq 3388
    1930 permit tcp host 192.168.32.17 host 172.21.100.60 eq 1588
    2550 permit tcp host 192.168.32.17 host 172.21.100.60 eq 3306
    2240 permit tcp host 192.168.32.17 host 172.21.100.60 eq 3388
    1940 permit tcp host 192.168.32.17 host 172.21.100.71 eq 1588
    2560 permit tcp host 192.168.32.17 host 172.21.100.71 eq 3306
    2250 permit tcp host 192.168.32.17 host 172.21.100.71 eq 3388
    1950 permit tcp host 192.168.32.17 host 172.21.100.72 eq 1588
    2570 permit tcp host 192.168.32.17 host 172.21.100.72 eq 3306
    2260 permit tcp host 192.168.32.17 host 172.21.100.72 eq 3388
    1960 permit tcp host 192.168.32.17 host 172.21.100.73 eq 1588
    2580 permit tcp host 192.168.32.17 host 172.21.100.73 eq 3306
    2270 permit tcp host 192.168.32.17 host 172.21.100.73 eq 3388
    1970 permit tcp host 192.168.32.17 host 172.21.100.74 eq 1588
    2590 permit tcp host 192.168.32.17 host 172.21.100.74 eq 3306
    2280 permit tcp host 192.168.32.17 host 172.21.100.74 eq 3388
    1910 permit tcp host 192.168.32.17 host 172.21.100.88 eq 1588
    2530 permit tcp host 192.168.32.17 host 172.21.100.88 eq 3306
    2220 permit tcp host 192.168.32.17 host 172.21.100.88 eq 3388
    1680 permit tcp host 192.168.32.17 host 172.21.101.13 eq 1588
    1850 permit tcp host 192.168.32.17 host 172.21.130.101 eq 1588
    2000 permit tcp host 192.168.32.17 host 172.29.199.3 eq 1588
    2620 permit tcp host 192.168.32.17 host 172.29.199.3 eq 3306
    2310 permit tcp host 192.168.32.17 host 172.29.199.3 eq 3388
    1990 permit tcp host 192.168.32.17 host 172.29.199.5 eq 1588
    2610 permit tcp host 192.168.32.17 host 172.29.199.5 eq 3306
    2300 permit tcp host 192.168.32.17 host 172.29.199.5 eq 3388
    2010 permit tcp host 192.168.32.17 host 172.29.199.7 eq 1588
    2630 permit tcp host 192.168.32.17 host 172.29.199.7 eq 3306
    2320 permit tcp host 192.168.32.17 host 172.29.199.7 eq 3388
    2040 permit tcp host 192.168.32.17 host 172.31.100.12 eq 1588
    2660 permit tcp host 192.168.32.17 host 172.31.100.12 eq 3306
    2350 permit tcp host 192.168.32.17 host 172.31.100.12 eq 3388
